speed_kmh,shutter_us,illum_lx,iso,axis,frame,bew_px,mtf50_cy_px,n_roi
10,100,15000,1600,V,08.png,3.17,0.16635,2
10,100,15000,1600,V,09.png,3.185,0.1598,2
10,100,15000,1600,V,10.png,3.44,0.151,2
10,100,40000,1600,H,01.png,3.915,0.13790000000000002,2
10,100,40000,1600,H,02.png,3.335,0.15435,2
10,100,40000,1600,H,03.png,3.6100000000000003,0.14765,2
10,100,40000,1600,H,04.png,3.8,0.14150000000000001,2
10,100,40000,1600,H,05.png,3.405,0.15145,2
10,100,40000,1600,H,06.png,3.69,0.14345,2
10,100,40000,1600,H,07.png,3.9299999999999997,0.1366,2
10,100,40000,1600,H,08.png,3.4050000000000002,0.15395,2
10,100,40000,1600,H,09.png,3.5149999999999997,0.1498,2
10,100,40000,1600,H,10.png,3.635,0.1424,2
10,100,40000,1600,V,01.png,3.5,0.1572,2
10,100,40000,1600,V,02.png,3.465,0.15975,2
10,100,40000,1600,V,03.png,3.41,0.15525,2
10,100,40000,1600,V,04.png,3.4299999999999997,0.15515,2
10,100,40000,1600,V,05.png,3.425,0.1588,2
10,100,40000,1600,V,06.png,3.43,0.1601,2
10,100,40000,1600,V,07.png,3.5,0.15295,2
10,100,40000,1600,V,08.png,3.385,0.16175,2
10,100,40000,1600,V,09.png,3.395,0.16249999999999998,2
10,100,40000,1600,V,10.png,3.4299999999999997,0.15695,2
10,250,15000,1250,H,01.png,4.795,0.10575,2
10,250,15000,1250,H,02.png,4.535,0.10994999999999999,2
10,250,15000,1250,H,03.png,4.04,0.1211,2
10,250,15000,1250,H,04.png,4.449999999999999,0.11175,2
10,250,15000,1250,H,05.png,5.09,0.09995,2
10,250,15000,1250,H,06.png,4.85,0.1037,2
10,250,15000,1250,H,07.png,5.25,0.096,2
10,250,15000,1250,H,08.png,4.1850000000000005,0.118,2
10,250,15000,1250,H,09.png,5.125,0.09864999999999999,2
10,250,15000,1250,H,10.png,4.625,0.1086,2
10,250,15000,1250,V,01.png,3.2199999999999998,0.16205,2
10,250,15000,1250,V,02.png,3.11,0.17020000000000002,2
10,250,15000,1250,V,03.png,2.925,0.1807,2
10,250,15000,1250,V,04.png,3.07,0.17409999999999998,2
10,250,15000,1250,V,05.png,3.34,0.1565,2
10,250,15000,1250,V,06.png,3.195,0.16055,2
10,250,15000,1250,V,07.png,3.445,0.1502,2
10,250,15000,1250,V,08.png,3.005,0.17709999999999998,2
10,250,15000,1250,V,09.png,3.375,0.15245,2
10,250,15000,1250,V,10.png,3.125,0.1644,2
10,250,40000,1250,H,01.png,4.365,0.11555,2
10,250,40000,1250,H,02.png,4.435,0.11405,2
10,250,40000,1250,H,03.png,4.46,0.11385,2
10,250,40000,1250,H,04.png,4.475,0.11274999999999999,2
10,250,40000,1250,H,05.png,4.215,0.11885,2
10,250,40000,1250,H,06.png,4.245,0.11879999999999999,2
10,250,40000,1250,H,07.png,4.245,0.1187,2
10,250,40000,1250,H,08.png,4.615,0.11105,2
10,250,40000,1250,H,09.png,4.43,0.11385,2
10,250,40000,1250,H,10.png,4.4399999999999995,0.1144,2
10,250,40000,1250,V,01.png,3.62,0.1542,2
10,250,40000,1250,V,02.png,3.4299999999999997,0.1581,2
10,250,40000,1250,V,03.png,3.5250000000000004,0.15689999999999998,2
10,250,40000,1250,V,04.png,3.365,0.15949999999999998,2
10,250,40000,1250,V,05.png,3.675,0.1522,2
10,250,40000,1250,V,06.png,3.625,0.15460000000000002,2
10,250,40000,1250,V,07.png,3.625,0.15460000000000002,2
10,250,40000,1250,V,08.png,3.375,0.16015000000000001,2
10,250,40000,1250,V,09.png,3.42,0.15885,2
10,250,40000,1250,V,10.png,3.5149999999999997,0.15665,2
10,500,15000,640,H,01.png,6.145,0.07665,2
10,500,15000,640,H,02.png,6.16,0.0767,2
10,500,15000,640,H,03.png,6.165,0.0764,2
10,500,15000,640,H,04.png,6.279999999999999,0.07585,2
10,500,15000,640,H,05.png,6.66,0.07250000000000001,2
10,500,15000,640,H,06.png,6.145,0.07665,2
10,500,15000,640,H,07.png,6.8,0.0718,2
10,500,15000,640,H,08.png,6.1899999999999995,0.07655,2
10,500,15000,640,H,09.png,6.265000000000001,0.07555,2
10,500,15000,640,H,10.png,6.265000000000001,0.07555,2
10,500,15000,640,V,01.png,2.9000000000000004,0.17795,2
