condition,lux,iso,shutter_us,speed_kmh,frame,bew_h,bew_v
15000lx_1600_100us_10,15000,1600,100,10,07.png,1.0693,1.1842
15000lx_1600_100us_10,15000,1600,100,10,08.png,1.1232,1.2213
15000lx_1600_100us_10,15000,1600,100,10,09.png,1.1210,1.2080
15000lx_1600_100us_10,15000,1600,100,10,10.png,1.1435,1.2262
15000lx_1600_100us_30,15000,1600,100,30,01.png,1.2100,1.2227
15000lx_1600_100us_30,15000,1600,100,30,02.png,1.2422,1.2438
15000lx_1600_100us_30,15000,1600,100,30,03.png,1.1874,1.2203
15000lx_1600_100us_30,15000,1600,100,30,04.png,1.1957,1.2241
15000lx_1600_100us_30,15000,1600,100,30,05.png,1.1990,1.2188
15000lx_1600_100us_30,15000,1600,100,30,06.png,1.2336,1.2234
15000lx_1600_100us_30,15000,1600,100,30,07.png,1.1965,1.2219
15000lx_1600_100us_30,15000,1600,100,30,08.png,1.1858,1.2171
15000lx_1600_100us_30,15000,1600,100,30,09.png,1.2286,1.2308
15000lx_1600_100us_30,15000,1600,100,30,10.png,1.2243,1.2097
15000lx_1600_100us_50,15000,1600,100,50,01.png,1.3316,1.2379
15000lx_1600_100us_50,15000,1600,100,50,02.png,1.3277,1.2456
15000lx_1600_100us_50,15000,1600,100,50,03.png,1.3433,1.2452
15000lx_1600_100us_50,15000,1600,100,50,04.png,1.3889,1.2607
15000lx_1600_100us_50,15000,1600,100,50,05.png,1.3428,1.2377
15000lx_1600_100us_50,15000,1600,100,50,06.png,1.3573,1.2320
15000lx_1600_100us_50,15000,1600,100,50,07.png,1.3633,1.2597
15000lx_1600_100us_50,15000,1600,100,50,08.png,1.3792,1.2640
15000lx_1600_100us_50,15000,1600,100,50,09.png,1.3728,1.2572
15000lx_1600_100us_50,15000,1600,100,50,10.png,1.3479,1.2269
15000lx_1600_100us_70,15000,1600,100,70,01.png,1.5788,1.2948
15000lx_1600_100us_70,15000,1600,100,70,02.png,1.5877,1.2784
15000lx_1600_100us_70,15000,1600,100,70,03.png,1.5706,1.2813
15000lx_1600_100us_70,15000,1600,100,70,04.png,1.5443,1.3014
15000lx_1600_100us_70,15000,1600,100,70,05.png,1.5387,1.2633
15000lx_1600_100us_70,15000,1600,100,70,06.png,1.5604,1.3102
15000lx_1600_100us_70,15000,1600,100,70,07.png,1.5556,1.2984
15000lx_1600_100us_70,15000,1600,100,70,08.png,1.5713,1.2749
15000lx_1600_100us_70,15000,1600,100,70,09.png,1.5416,1.2844
15000lx_1600_100us_70,15000,1600,100,70,10.png,1.5700,1.2742
40000lx_0640_500us_00,40000,640,500,0,01.png,1.3218,1.5436
40000lx_0640_500us_00,40000,640,500,0,02.png,1.2534,1.5184
40000lx_0640_500us_00,40000,640,500,0,03.png,1.3210,1.5015
40000lx_0640_500us_00,40000,640,500,0,04.png,1.3334,1.5864
40000lx_0640_500us_00,40000,640,500,0,05.png,1.3233,1.5775
40000lx_0640_500us_00,40000,640,500,0,06.png,1.3252,1.5978
40000lx_0640_500us_00,40000,640,500,0,07.png,1.3160,1.4775
40000lx_0640_500us_00,40000,640,500,0,08.png,1.3102,1.5154
40000lx_0640_500us_00,40000,640,500,0,09.png,1.3351,1.5636
40000lx_0640_500us_00,40000,640,500,0,10.png,1.3222,1.5207
40000lx_0640_500us_10,40000,640,500,10,01.png,1.9422,1.5887
40000lx_0640_500us_10,40000,640,500,10,02.png,1.8791,1.5559
40000lx_0640_500us_10,40000,640,500,10,03.png,1.9226,1.5377
40000lx_0640_500us_10,40000,640,500,10,04.png,1.9079,1.5406
40000lx_0640_500us_10,40000,640,500,10,05.png,1.9006,1.5892
40000lx_0640_500us_10,40000,640,500,10,06.png,1.9535,1.6458
40000lx_0640_500us_10,40000,640,500,10,07.png,1.8874,1.6567
40000lx_0640_500us_10,40000,640,500,10,08.png,1.9069,1.6075
40000lx_0640_500us_10,40000,640,500,10,09.png,1.9042,1.5462
40000lx_0640_500us_10,40000,640,500,10,10.png,1.9038,1.5768
40000lx_0640_500us_30,40000,640,500,30,01.png,3.3038,1.7934
40000lx_0640_500us_30,40000,640,500,30,02.png,3.3086,1.7458
40000lx_0640_500us_30,40000,640,500,30,03.png,3.3485,1.8435
40000lx_0640_500us_30,40000,640,500,30,04.png,3.3105,1.8250
40000lx_0640_500us_30,40000,640,500,30,05.png,3.3535,1.7686
40000lx_0640_500us_30,40000,640,500,30,06.png,3.3451,1.7494
40000lx_0640_500us_30,40000,640,500,30,07.png,3.3030,1.8183
40000lx_0640_500us_30,40000,640,500,30,08.png,3.2951,1.7558
40000lx_0640_500us_30,40000,640,500,30,09.png,3.2961,1.7896
40000lx_0640_500us_30,40000,640,500,30,10.png,3.2569,1.7576
40000lx_0640_500us_50,40000,640,500,50,01.png,3.9010,2.0347
40000lx_0640_500us_50,40000,640,500,50,02.png,3.9053,2.0088
40000lx_0640_500us_50,40000,640,500,50,03.png,3.8545,2.0368
40000lx_0640_500us_50,40000,640,500,50,04.png,3.8410,1.9843
40000lx_0640_500us_50,40000,640,500,50,05.png,3.8572,1.9953
40000lx_0640_500us_50,40000,640,500,50,06.png,3.8262,1.9921
40000lx_0640_500us_50,40000,640,500,50,07.png,3.8482,2.0078
40000lx_0640_500us_50,40000,640,500,50,08.png,3.8548,1.9957
40000lx_0640_500us_50,40000,640,500,50,09.png,3.8551,2.0076
40000lx_0640_500us_50,40000,640,500,50,10.png,3.9075,1.9880
40000lx_0640_500us_70,40000,640,500,70,01.png,4.2474,2.1997
40000lx_0640_500us_70,40000,640,500,70,02.png,4.2737,2.1484
40000lx_0640_500us_70,40000,640,500,70,03.png,4.2881,2.1784
40000lx_0640_500us_70,40000,640,500,70,04.png,4.2867,2.1722
40000lx_0640_500us_70,40000,640,500,70,05.png,4.2574,2.1460
40000lx_0640_500us_70,40000,640,500,70,06.png,4.3411,2.1273
40000lx_0640_500us_70,40000,640,500,70,07.png,4.2949,2.1653
40000lx_0640_500us_70,40000,640,500,70,08.png,4.3534,2.1690
40000lx_0640_500us_70,40000,640,500,70,09.png,4.2580,2.1832
40000lx_0640_500us_70,40000,640,500,70,10.png,4.3101,2.1891
40000lx_1250_250us_00,40000,1250,250,0,01.png,1.3285,1.5208
40000lx_1250_250us_00,40000,1250,250,0,02.png,1.3177,1.4888
40000lx_1250_250us_00,40000,1250,250,0,03.png,1.3055,1.5086
40000lx_1250_250us_00,40000,1250,250,0,04.png,1.3154,1.4945
40000lx_1250_250us_00,40000,1250,250,0,05.png,1.3501,1.5753
40000lx_1250_250us_00,40000,1250,250,0,06.png,1.3466,1.5163
40000lx_1250_250us_00,40000,1250,250,0,07.png,1.3251,1.5153
40000lx_1250_250us_00,40000,1250,250,0,08.png,1.2994,1.4876
40000lx_1250_250us_00,40000,1250,250,0,09.png,1.3459,1.5347
40000lx_1250_250us_00,40000,1250,250,0,10.png,1.3426,1.5368
40000lx_1250_250us_10,40000,1250,250,10,01.png,1.5244,1.6088
40000lx_1250_250us_10,40000,1250,250,10,02.png,1.5056,1.5128
40000lx_1250_250us_10,40000,1250,250,10,03.png,1.5306,1.5724
40000lx_1250_250us_10,40000,1250,250,10,04.png,1.4937,1.5701
40000lx_1250_250us_10,40000,1250,250,10,05.png,1.5138,1.5635
40000lx_1250_250us_10,40000,1250,250,10,06.png,1.5197,1.5555
40000lx_1250_250us_10,40000,1250,250,10,07.png,1.5188,1.5640
40000lx_1250_250us_10,40000,1250,250,10,08.png,1.5139,1.5633
40000lx_1250_250us_10,40000,1250,250,10,09.png,1.5014,1.5833
40000lx_1250_250us_10,40000,1250,250,10,10.png,1.5282,1.5334
40000lx_1250_250us_30,40000,1250,250,30,01.png,2.3831,1.6312
40000lx_1250_250us_30,40000,1250,250,30,02.png,2.3672,1.6370
40000lx_1250_250us_30,40000,1250,250,30,03.png,2.3992,1.6031
40000lx_1250_250us_30,40000,1250,250,30,04.png,2.3590,1.6856
40000lx_1250_250us_30,40000,1250,250,30,05.png,2.3713,1.6451
40000lx_1250_250us_30,40000,1250,250,30,06.png,2.3834,1.6332
40000lx_1250_250us_30,40000,1250,250,30,07.png,2.3486,1.6001
40000lx_1250_250us_30,40000,1250,250,30,08.png,2.3692,1.6086
40000lx_1250_250us_30,40000,1250,250,30,09.png,2.3899,1.6007
40000lx_1250_250us_30,40000,1250,250,30,10.png,2.3822,1.6078
40000lx_1250_250us_50,40000,1250,250,50,01.png,2.9628,1.7620
40000lx_1250_250us_50,40000,1250,250,50,02.png,2.9924,1.7942
40000lx_1250_250us_50,40000,1250,250,50,03.png,2.9509,1.7534
40000lx_1250_250us_50,40000,1250,250,50,04.png,2.9829,1.7348
40000lx_1250_250us_50,40000,1250,250,50,05.png,2.9863,1.7645
40000lx_1250_250us_50,40000,1250,250,50,06.png,2.9677,1.7560
40000lx_1250_250us_50,40000,1250,250,50,07.png,2.9772,1.7636
40000lx_1250_250us_50,40000,1250,250,50,08.png,2.9512,1.7554
